ACTION_VERB
Addressed
Advised
Arranged
Authored
Co-authored
Co-ordinated
Communicated
Corresponded
Counselled
Developed
Demonstrated
Directed
Drafted
Enlisted
Facilitated
Formulated
Guided
Influenced
Interpreted
Interviewed
Instructed
Lectured
Led
Liaised
Mediated
Moderated
Motivated
Negotiated
Persuaded
Presented
Promoted
Proposed
Publicized
Recommended
Reconciled
Recruited
Resolved
Taught
Trained
Translated
Chaired
Controlled
Coordinated
Executed
Headed
Operated
Orchestrated
Organized
Oversaw
Planned
Produced
Programmed
Administered
Built
Charted
Created
Designed
Developed
Devised
Founded
Engineered
Established
Formalized
Formed
Formulated
Implemented
Incorporated
Initiated
Instituted
Introduced
Launched
Pioneered
Spearheaded
Conserved
Consolidated
Decreased
Deducted
Diagnosed
Lessened
Reconciled
Reduced
Yielded
Accelerated
Achieved
Advanced
Amplified
Boosted
Capitalized
Delivered
Enhanced
Expanded
Expedited
Furthered
Gained
Generated
Improved
Lifted
Maximized
Outpaced
Stimulated
Sustained
Centralized
Clarified
Converted
Customized
Influenced
Integrated
Merged
Modified
Overhauled
Redesigned
Refined
Refocused
Rehabilitated
Remodeled
Reorganized
Replaced
Restructured
Revamped
Revitalized
Simplified
Standardized
Streamlined
Strengthened
Updated
Upgraded
Transformed
Aligned
Cultivated
Directed
Enabled
Facilitated
Fostered
Guided
Hired
Inspired
Mentored
Mobilized
Motivated
Recruited
Regulated
Shaped
Supervised
Taught
Trained
Unified
United
Acquired
Forged
Navigated
Negotiated
Partnered
Secured
Advised
Advocated
Arbitrated
Coached
Consulted
Educated
Fielded
Informed
Resolved
Analyzed
Assembled
Assessed
Audited
Calculated
Discovered
Evaluated
Examined
Explored
Forecasted
Identified
Interpreted
Investigated
Mapped
Measured
Qualified
Quantified
Surveyed
Tested
Tracked
Authored
Briefed
Campaigned
Co-authored
Composed
Conveyed
Convinced
Corresponded
Counseled
Critiqued
Defined
Documented
Edited
Illustrated
Lobbied
Persuaded
Promoted
Publicized
Reviewed
Authorized
Blocked
Delegated
Dispatched
Enforced
Ensured
Inspected
Itemized
Monitored
Screened
Scrutinized
Verified
Attained
Awarded
Completed
Demonstrated
Earned
Exceeded
Outperformed
Reached
Showcased
Succeeded
Surpassed
Targeted
Administered
Analyzed
Assigned
Chaired
Consolidated
Contracted
Coordinated
Delegated
Developed
Directed
Evaluated
Executed
Organized
Oversaw
Planned
Prioritized
Produced
Recommended
Reorganized
Reviewed
Scheduled
Supervised
Addressed
Arbitrated
Arranged
Authored
Co-authored
Collaborated
Corresponded
Developed
Directed
Drafted
Enlisted
Formulated
Influenced
Interpreted
Lectured
Mediated
Moderated
Negotiated
Persuaded
Promoted
Proposed
Publicized
Reconciled
Recruited
Spoke
Translated
Wrote
Clarified
Collected
Critiqued
Diagnosed
Evaluated
Examined
Extracted
Identified
Inspected
Inspired
Interpreted
Interviewed
Investigated
Organized
Reviewed
Summarized
Surveyed
Systemized
Assembled
Built
Calculated
Computed
Designed
Devised
Engineered
Fabricated
Maintained
Operated
Pinpointed
Programmed
Remodeled
Repaired
Solved
Adapted
Advised
Clarified
Coached
Communicated
Conducted
Coordinated
Developed
Enabled
Encouraged
Evaluated
Explained
Facilitated
Guided
Informed
Instructed
Lectured
Persuaded
Set goals
Stimulated
Taught
Trained
Administered
Allocated
Analyzed
Appraised
Audited
Balanced
Budgeted
Calculated
Computed
Developed
Managed
Planned
Projected
Researched
Acted
Conceptualized
Created
Customized
Designed
Developed
Directed
Established
Fashioned
Illustrated
Instituted
Integrated
Performed
Planned
Proved
Revised
Revitalized
Set up
Shaped
Streamlined
Structured
Tabulated
Validated
Assessed
Assisted
Clarified
Coached
Counseled
Demonstrated
Diagnosed
Educated
Facilitated
Familiarized
Guided
Inspired
Motivated
Participated
Provided
Referred
Rehabilitated
Reinforced
Represented
Supported
Taught
Trained
Verified
Approved
Arranged
Catalogued
Classified
Collected
Compiled
Dispatched
Executed
Filed
Generated
Implemented
Inspected
Monitored
Operated
Ordered
Organized
Prepared
Processed
Purchased
Recorded
Retrieved
Screened
Specified
Systematized
Accelerated
Achieved
Attained
Completed
Conceived
Convinced
Discovered
Doubled
Effected
Eliminated
Expanded
Expedited
Founded
Improved
Increased
Initiated
Innovated
Introduced
Invented
Launched
Mastered
Originated
Overcame
Overhauled
Pioneered
Reduced
Resolved
Revitalized
Spearheaded
Strengthened
Transformed
Upgraded
